일시,지점명,평균습도(%rh),최저습도(%rh)
20190101,동두천,48.1,29.0
20190102,동두천,46.1,17.0
20190103,동두천,41.8,14.0
20190104,동두천,56.5,25.0
20190105,동두천,37.3,16.0
20190106,동두천,35.5,16.0
20190107,동두천,44.6,15.0
20190108,동두천,32.3,15.0
20190109,동두천,32.0,16.0
20190110,동두천,46.5,21.0
20190111,동두천,57.5,27.0
20190112,동두천,49.0,26.0
20190113,동두천,51.1,20.0
20190114,동두천,69.1,47.0
20190115,동두천,56.6,25.0
20190116,동두천,44.6,18.0
20190117,동두천,44.1,18.0
20190118,동두천,44.9,16.0
20190119,동두천,65.4,46.0
20190120,동두천,38.8,15.0
20190121,동두천,60.0,37.0
20190122,동두천,63.8,34.0
20190123,동두천,48.1,13.0
20190124,동두천,32.0,9.0
20190125,동두천,31.0,15.0
20190126,동두천,29.0,16.0
20190127,동두천,50.3,25.0
20190128,동두천,39.5,15.0
20190129,동두천,35.8,15.0
20190130,동두천,50.3,30.0
20190131,동두천,24.6,12.0
20190201,동두천,47.0,18.0
20190202,동두천,58.8,41.0
20190203,동두천,78.0,55.0
20190204,동두천,39.9,20.0
20190205,동두천,43.6,18.0
20190206,동두천,56.8,29.0
20190207,동두천,41.8,16.0
20190208,동두천,29.8,18.0
20190209,동두천,27.9,16.0
20190210,동두천,32.6,19.0
20190211,동두천,32.8,16.0
20190212,동두천,38.4,20.0
20190213,동두천,32.1,19.0
20190214,동두천,37.3,18.0
20190215,동두천,85.9,43.0
20190216,동두천,74.1,53.0
20190217,동두천,63.1,31.0
20190218,동두천,57.5,30.0
20190219,동두천,91.6,58.0
20190220,동두천,77.6,58.0
20190221,동두천,73.5,41.0
20190222,동두천,67.4,32.0
20190223,동두천,53.8,20.0
20190224,동두천,57.5,23.0
20190225,동두천,62.1,27.0
20190226,동두천,46.9,18.0
20190227,동두천,49.0,29.0
20190228,동두천,56.0,27.0
20190301,동두천,55.4,25.0
20190302,동두천,51.9,20.0
20190303,동두천,48.5,20.0
20190304,동두천,53.5,19.0
20190305,동두천,75.3,44.0
20190306,동두천,73.1,48.0
20190307,동두천,59.4,25.0
20190308,동두천,44.9,20.0
20190309,동두천,40.3,15.0
20190310,동두천,47.9,21.0
20190311,동두천,69.8,39.0
20190312,동두천,63.4,18.0
20190313,동두천,35.8,12.0
20190314,동두천,59.3,27.0
20190315,동두천,87.0,31.0
20190316,동두천,83.6,51.0
20190317,동두천,66.3,31.0
20190318,동두천,57.6,24.0
20190319,동두천,62.6,18.0
20190320,동두천,89.5,48.0
20190321,동두천,82.8,53.0
20190322,동두천,49.4,24.0
20190323,동두천,57.8,30.0
20190324,동두천,52.3,25.0
20190325,동두천,68.8,59.0
20190326,동두천,59.9,19.0
20190327,동두천,77.3,54.0
20190328,동두천,56.5,22.0
20190329,동두천,38.4,20.0
20190330,동두천,82.4,45.0
20190331,동두천,58.1,21.0
20190401,동두천,47.5,19.0
20190402,동두천,44.6,15.0
20190403,동두천,43.0,16.0
20190404,동두천,49.3,28.0
20190405,동두천,43.1,11.0
20190406,동두천,53.5,21.0
20190407,동두천,56.0,17.0
20190408,동두천,30.8,10.0
20190409,동두천,58.0,18.0
20190410,동두천,89.3,68.0
20190411,동두천,70.4,25.0
20190412,동두천,54.4,20.0
20190413,동두천,44.1,18.0
20190414,동두천,57.0,25.0
20190415,동두천,42.3,18.0
20190416,동두천,39.4,14.0
20190417,동두천,46.9,21.0
20190418,동두천,85.4,67.0
20190419,동두천,65.5,35.0
20190420,동두천,77.8,46.0
20190421,동두천,81.5,52.0
20190422,동두천,60.4,20.0
20190423,동두천,59.3,41.0
20190424,동두천,73.9,45.0
20190425,동두천,85.1,60.0
20190426,동두천,85.1,65.0
20190427,동두천,64.3,24.0
20190428,동두천,68.3,44.0
20190429,동두천,67.9,40.0
20190430,동두천,65.0,33.0
20190501,동두천,55.3,24.0
20190502,동두천,37.6,16.0
20190503,동두천,44.9,20.0
20190504,동두천,50.8,24.0
20190505,동두천,45.5,10.0
20190506,동두천,31.0,14.0
20190507,동두천,42.6,20.0
20190508,동두천,56.3,32.0
20190509,동두천,51.1,20.0
20190510,동두천,51.9,26.0
20190511,동두천,50.1,25.0
20190512,동두천,53.6,25.0
20190513,동두천,61.1,42.0
20190514,동두천,57.4,27.0
20190515,동두천,61.4,25.0
20190516,동두천,61.6,33.0
20190517,동두천,60.9,37.0
20190518,동두천,55.9,36.0
20190519,동두천,93.9,61.0
20190520,동두천,72.1,42.0
20190521,동두천,59.9,23.0
20190522,동두천,59.1,26.0
20190523,동두천,59.3,24.0
20190524,동두천,62.1,34.0
20190525,동두천,61.0,21.0
20190526,동두천,52.8,27.0
20190527,동두천,86.5,59.0
20190528,동두천,58.0,28.0
20190529,동두천,59.5,25.0
20190530,동두천,58.8,40.0
20190531,동두천,60.3,41.0
20190601,동두천,70.9,40.0
20190602,동두천,58.0,27.0
20190603,동두천,56.4,32.0
20190604,동두천,69.6,44.0
20190605,동두천,78.5,51.0
20190606,동두천,91.0,70.0
20190607,동두천,85.3,63.0
20190608,동두천,74.0,38.0
20190609,동두천,79.5,60.0
20190610,동두천,79.5,56.0
20190611,동두천,65.5,40.0
20190612,동두천,70.1,47.0
20190613,동두천,65.4,45.0
20190614,동두천,68.3,37.0
20190615,동두천,76.5,41.0
20190616,동두천,69.4,39.0
20190617,동두천,69.8,47.0
20190618,동두천,89.1,64.0
20190619,동두천,92.4,80.0
20190620,동두천,82.4,59.0
20190621,동두천,86.8,62.0
20190622,동두천,66.0,38.0
20190623,동두천,61.5,39.0
20190624,동두천,64.1,43.0
20190625,동두천,65.5,38.0
20190626,동두천,73.0,55.0
20190627,동두천,77.6,51.0
20190628,동두천,81.6,68.0
20190629,동두천,84.5,62.0
20190630,동두천,83.8,63.0
20190701,동두천,74.1,44.0
20190702,동두천,74.1,45.0
20190703,동두천,77.8,49.0
20190704,동두천,67.1,33.0
20190705,동두천,57.8,30.0
20190706,동두천,57.6,30.0
20190707,동두천,56.6,38.0
20190708,동두천,59.9,43.0
20190709,동두천,60.9,39.0
20190710,동두천,74.9,53.0
20190711,동두천,88.8,73.0
20190712,동두천,81.6,52.0
20190713,동두천,83.5,52.0
20190714,동두천,89.0,57.0
20190715,동두천,90.9,68.0
20190716,동두천,88.4,67.0
20190717,동두천,90.9,72.0
20190718,동두천,77.6,53.0
20190719,동두천,72.9,47.0
20190720,동두천,70.3,60.0
20190721,동두천,95.9,77.0
20190722,동두천,87.6,65.0
20190723,동두천,87.1,68.0
20190724,동두천,95.8,89.0
20190725,동두천,98.6,94.0
20190726,동두천,99.8,95.0
20190727,동두천,89.0,66.0
20190728,동두천,98.5,95.0
20190729,동두천,87.6,78.0
20190730,동두천,91.0,82.0
20190731,동두천,98.5,88.0
20190801,동두천,93.8,76.0
20190802,동두천,84.4,63.0
20190803,동두천,89.1,57.0
20190804,동두천,85.6,62.0
20190805,동두천,80.1,56.0
20190806,동두천,71.4,49.0
20190807,동두천,93.6,67.0
20190808,동두천,88.8,67.0
20190809,동두천,87.1,64.0
20190810,동두천,78.4,52.0
20190811,동두천,66.9,48.0
20190812,동두천,96.9,87.0
20190813,동두천,88.6,62.0
20190814,동두천,74.8,53.0
20190815,동두천,92.1,69.0
20190816,동두천,91.0,73.0
20190817,동두천,80.0,60.0
20190818,동두천,79.1,49.0
20190819,동두천,78.9,49.0
20190820,동두천,77.3,51.0
20190821,동두천,87.5,68.0
20190822,동두천,82.9,55.0
20190823,동두천,77.8,50.0
20190824,동두천,82.4,58.0
20190825,동두천,82.6,52.0
20190826,동두천,80.4,48.0
20190827,동두천,84.0,59.0
20190828,동두천,81.9,52.0
20190829,동두천,86.0,69.0
20190830,동두천,80.8,54.0
20190831,동두천,79.5,52.0
20190901,동두천,81.0,58.0
20190902,동두천,77.3,41.0
20190903,동두천,81.0,53.0
20190904,동두천,98.5,93.0
20190905,동두천,98.3,78.0
20190906,동두천,96.1,79.0
20190907,동두천,85.5,65.0
20190908,동두천,90.4,70.0
20190909,동두천,88.8,64.0
20190910,동두천,99.3,85.0
20190911,동두천,84.1,67.0
20190912,동두천,85.0,61.0
20190913,동두천,75.3,45.0
20190914,동두천,93.0,76.0
20190915,동두천,82.6,59.0
20190916,동두천,73.3,37.0
20190917,동두천,70.3,32.0
20190918,동두천,59.5,36.0
20190919,동두천,68.4,37.0
20190920,동두천,80.0,57.0
20190921,동두천,87.0,67.0
20190922,동두천,71.4,63.0
20190923,동두천,64.1,42.0
20190924,동두천,76.1,42.0
20190925,동두천,83.0,55.0
20190926,동두천,80.9,47.0
20190927,동두천,77.6,50.0
20190928,동두천,77.4,51.0
20190929,동두천,77.6,34.0
20190930,동두천,79.5,41.0
20191001,동두천,83.6,57.0
20191002,동두천,93.0,73.0
20191003,동두천,82.9,61.0
20191004,동두천,85.1,62.0
20191005,동두천,86.1,73.0
20191006,동두천,73.9,46.0
20191007,동두천,99.1,78.0
20191008,동두천,71.5,29.0
20191009,동두천,72.5,32.0
20191010,동두천,84.9,54.0
20191011,동두천,75.0,41.0
20191012,동두천,63.8,43.0
20191013,동두천,78.5,42.0
20191014,동두천,68.6,39.0
20191015,동두천,74.6,42.0
20191016,동두천,76.5,50.0
20191017,동두천,74.3,31.0
20191018,동두천,79.6,51.0
20191019,동두천,80.3,48.0
20191020,동두천,82.9,45.0
20191021,동두천,81.4,45.0
20191022,동두천,78.5,46.0
20191023,동두천,81.4,50.0
20191024,동두천,68.3,40.0
20191025,동두천,74.8,45.0
20191026,동두천,74.8,50.0
20191027,동두천,76.9,43.0
20191028,동두천,80.0,48.0
20191029,동두천,74.3,40.0
20191030,동두천,77.1,42.0
20191031,동두천,88.1,64.0
20191101,동두천,74.8,38.0
20191102,동두천,80.1,58.0
20191103,동두천,76.3,49.0
20191104,동두천,75.1,40.0
20191105,동두천,82.0,49.0
20191106,동두천,78.4,45.0
20191107,동두천,59.8,26.0
20191108,동두천,49.8,19.0
20191109,동두천,57.3,25.0
20191110,동두천,75.8,33.0
20191111,동두천,81.5,54.0
20191112,동두천,76.9,37.0
20191113,동두천,84.9,50.0
20191114,동두천,40.8,25.0
20191115,동두천,90.9,42.0
20191116,동두천,90.0,52.0
20191117,동두천,94.3,76.0
20191118,동두천,71.6,43.0
20191119,동두천,58.6,34.0
20191120,동두천,49.3,25.0
20191121,동두천,66.0,40.0
20191122,동두천,56.1,19.0
20191123,동두천,71.5,46.0
20191124,동두천,89.5,67.0
20191125,동두천,71.0,59.0
20191126,동두천,79.9,45.0
20191127,동두천,62.3,44.0
20191128,동두천,61.4,45.0
20191129,동두천,57.5,30.0
20191130,동두천,59.3,30.0
20191201,동두천,90.0,63.0
20191202,동두천,58.9,32.0
20191203,동두천,71.9,46.0
20191204,동두천,60.4,29.0
20191205,동두천,34.8,17.0
20191206,동두천,51.5,27.0
20191207,동두천,82.3,59.0
20191208,동두천,80.4,40.0
20191209,동두천,78.0,61.0
20191210,동두천,95.6,81.0
20191211,동두천,74.1,53.0
20191212,동두천,58.8,33.0
20191213,동두천,74.3,52.0
20191214,동두천,79.1,48.0
20191215,동두천,78.6,43.0
20191216,동두천,80.0,55.0
20191217,동두천,91.8,69.0
20191218,동두천,82.3,64.0
20191219,동두천,66.0,37.0
20191220,동두천,59.1,31.0
20191221,동두천,83.0,53.0
20191222,동두천,84.5,58.0
20191223,동두천,91.5,76.0
20191224,동두천,88.4,48.0
20191225,동두천,81.8,42.0
20191226,동두천,73.5,52.0
20191227,동두천,67.4,30.0
20191228,동두천,62.4,46.0
20191229,동두천,65.1,40.0
20191230,동두천,74.1,32.0
20191231,동두천,50.1,28.0
20200101,동두천,76.6,51.0
20200102,동두천,81.9,63.0
20200103,동두천,72.8,35.0
20200104,동두천,69.3,34.0
20200105,동두천,63.6,31.0
20200106,동두천,84.3,63.0
20200107,동두천,98.9,97.0
20200108,동두천,96.4,90.0
20200109,동두천,80.8,60.0
20200110,동두천,81.5,51.0
20200111,동두천,77.8,51.0
20200112,동두천,73.4,47.0
20200113,동두천,66.5,38.0
20200114,동두천,65.0,25.0
20200115,동두천,63.6,31.0
20200116,동두천,61.1,30.0
20200117,동두천,64.5,30.0
20200118,동두천,63.4,26.0
20200119,동두천,75.9,52.0
20200120,동두천,64.3,34.0
20200121,동두천,56.1,24.0
20200122,동두천,50.3,21.0
20200123,동두천,64.6,39.0
20200124,동두천,80.6,57.0
20200125,동두천,81.1,56.0
20200126,동두천,68.4,36.0
20200127,동두천,54.6,43.0
20200128,동두천,60.0,46.0
20200129,동두천,68.4,43.0
20200130,동두천,70.8,41.0
20200131,동두천,74.3,40.0
20200201,동두천,79.9,48.0
20200202,동두천,64.6,29.0
20200203,동두천,47.5,23.0
20200204,동두천,69.4,37.0
20200205,동두천,50.5,34.0
20200206,동두천,57.6,23.0
20200207,동두천,63.0,32.0
20200208,동두천,56.6,32.0
20200209,동두천,66.3,27.0
20200210,동두천,65.5,29.0
20200211,동두천,53.4,21.0
20200212,동두천,82.1,53.0
20200213,동두천,92.5,69.0
20200214,동두천,77.6,46.0
20200215,동두천,79.4,41.0
20200216,동두천,91.1,72.0
20200217,동두천,76.8,61.0
20200218,동두천,65.3,36.0
20200219,동두천,74.8,46.0
20200220,동두천,79.5,44.0
20200221,동두천,81.3,50.0
20200222,동두천,73.5,41.0
20200223,동두천,64.1,29.0
20200224,동두천,73.0,54.0
20200225,동두천,87.3,70.0
20200226,동두천,79.8,54.0
20200227,동두천,68.4,29.0
20200228,동두천,91.4,67.0
20200229,동두천,75.9,36.0
20200301,동두천,85.0,63.0
20200302,동두천,71.4,43.0
20200303,동두천,71.6,39.0
20200304,동두천,66.6,38.0
20200305,동두천,57.5,28.0
20200306,동두천,57.0,23.0
20200307,동두천,54.5,24.0
20200308,동두천,58.6,25.0
20200309,동두천,52.3,29.0
20200310,동두천,90.4,48.0
20200311,동두천,54.8,26.0
20200312,동두천,61.3,24.0
20200313,동두천,43.3,19.0
20200314,동두천,58.4,28.0
20200315,동두천,59.5,22.0
20200316,동두천,56.6,21.0
20200317,동두천,81.8,60.0
20200318,동두천,56.1,22.0
20200319,동두천,50.5,27.0
20200320,동두천,45.8,19.0
20200321,동두천,62.8,42.0
20200322,동두천,46.5,16.0
20200323,동두천,46.4,19.0
20200324,동두천,44.8,18.0
20200325,동두천,46.0,22.0
20200326,동두천,60.8,27.0
20200327,동두천,61.0,24.0
20200328,동두천,24.4,14.0
20200329,동두천,39.4,17.0
20200330,동두천,44.6,18.0
20200331,동두천,45.1,17.0
20200401,동두천,45.5,20.0
20200402,동두천,53.0,21.0
20200403,동두천,57.0,23.0
20200404,동두천,37.5,12.0
20200405,동두천,30.6,13.0
20200406,동두천,45.0,13.0
20200407,동두천,64.1,35.0
20200408,동두천,37.4,14.0
20200409,동두천,45.8,23.0
20200410,동두천,55.3,32.0
20200411,동두천,61.4,28.0
20200412,동두천,63.9,43.0
20200413,동두천,38.5,14.0
20200414,동두천,39.9,21.0
20200415,동두천,41.9,19.0
20200416,동두천,45.3,21.0
20200417,동두천,85.5,51.0
20200418,동두천,74.4,38.0
20200419,동두천,81.3,44.0
20200420,동두천,84.4,64.0
20200421,동두천,51.9,27.0
20200422,동두천,47.9,37.0
20200423,동두천,49.5,21.0
20200424,동두천,58.5,33.0
20200425,동두천,57.3,38.0
20200426,동두천,50.9,19.0
20200427,동두천,51.0,20.0
20200428,동두천,52.9,22.0
20200429,동두천,53.9,24.0
20200430,동두천,64.6,38.0
20200501,동두천,80.8,52.0
20200502,동두천,90.0,72.0
20200503,동두천,73.4,43.0
20200504,동두천,69.6,45.0
20200505,동두천,77.1,44.0
20200506,동두천,55.4,20.0
20200507,동두천,40.6,19.0
20200508,동두천,49.4,10.0
20200509,동두천,98.6,93.0
20200510,동두천,96.0,89.0
20200511,동두천,66.4,30.0
20200512,동두천,78.5,48.0
20200513,동두천,57.3,25.0
20200514,동두천,48.6,23.0
20200515,동두천,89.1,43.0
20200516,동두천,95.3,81.0
20200517,동두천,87.9,66.0
20200518,동두천,91.6,54.0
20200519,동두천,82.8,55.0
20200520,동두천,74.3,49.0
20200521,동두천,73.0,48.0
20200522,동두천,80.6,61.0
20200523,동두천,76.9,47.0
20200524,동두천,91.8,65.0
20200525,동두천,86.6,64.0
20200526,동두천,89.9,41.0
20200527,동두천,76.8,37.0
20200528,동두천,78.0,51.0
20200529,동두천,71.1,33.0
20200530,동두천,67.0,30.0
20200531,동두천,74.9,40.0
20200601,동두천,69.0,41.0
20200602,동두천,77.9,52.0
20200603,동두천,77.5,47.0
20200604,동두천,85.8,61.0
20200605,동두천,75.0,39.0
20200606,동두천,73.5,41.0
20200607,동두천,79.0,48.0
20200608,동두천,74.5,46.0
20200609,동두천,65.8,43.0
20200610,동두천,75.1,48.0
20200611,동두천,72.1,38.0
20200612,동두천,76.3,45.0
20200613,동두천,55.3,22.0
20200614,동두천,79.4,51.0
20200615,동두천,66.9,36.0
20200616,동두천,70.0,38.0
20200617,동두천,68.6,45.0
20200618,동두천,69.4,51.0
20200619,동두천,69.4,46.0
20200620,동두천,74.0,52.0
20200621,동두천,69.3,40.0
20200622,동두천,60.8,26.0
20200623,동두천,68.1,46.0
20200624,동두천,90.5,73.0
20200625,동두천,97.9,91.0
20200626,동두천,89.8,68.0
20200627,동두천,81.5,58.0
20200628,동두천,79.5,55.0
