일시,지점명,평균습도(%rh),최저습도(%rh)
20190101,서울,49.5,34.0
20190102,서울,42.8,20.0
20190103,서울,38.8,18.0
20190104,서울,55.5,34.0
20190105,서울,40.3,20.0
20190106,서울,35.0,19.0
20190107,서울,46.4,28.0
20190108,서울,31.0,20.0
20190109,서울,28.8,17.0
20190110,서울,48.8,27.0
20190111,서울,58.8,39.0
20190112,서울,47.6,32.0
20190113,서울,54.3,21.0
20190114,서울,68.6,50.0
20190115,서울,58.8,30.0
20190116,서울,45.9,17.0
20190117,서울,45.8,19.0
20190118,서울,44.0,21.0
20190119,서울,59.8,44.0
20190120,서울,38.5,19.0
20190121,서울,57.8,40.0
20190122,서울,62.0,42.0
20190123,서울,48.9,17.0
20190124,서울,34.9,11.0
20190125,서울,27.6,18.0
20190126,서울,30.9,20.0
20190127,서울,52.5,28.0
20190128,서울,40.4,17.0
20190129,서울,35.5,18.0
20190130,서울,54.6,39.0
20190131,서울,29.0,18.0
20190201,서울,47.6,27.0
20190202,서울,60.0,46.0
20190203,서울,92.9,53.0
20190204,서울,40.4,17.0
20190205,서울,37.1,17.0
20190206,서울,54.9,34.0
20190207,서울,45.5,18.0
20190208,서울,31.5,18.0
20190209,서울,30.0,20.0
20190210,서울,31.3,22.0
20190211,서울,34.9,19.0
20190212,서울,35.5,22.0
20190213,서울,26.6,15.0
20190214,서울,24.3,16.0
20190215,서울,72.8,30.0
20190216,서울,59.0,38.0
20190217,서울,47.4,23.0
20190218,서울,43.5,27.0
20190219,서울,80.8,36.0
20190220,서울,67.8,48.0
20190221,서울,59.4,32.0
20190222,서울,56.1,28.0
20190223,서울,41.0,15.0
20190224,서울,45.0,20.0
20190225,서울,55.8,26.0
20190226,서울,32.8,16.0
20190227,서울,31.3,21.0
20190228,서울,39.5,24.0
20190301,서울,42.3,22.0
20190302,서울,37.6,19.0
20190303,서울,36.4,15.0
20190304,서울,46.1,19.0
20190305,서울,66.3,40.0
20190306,서울,55.0,43.0
20190307,서울,51.1,26.0
20190308,서울,39.4,17.0
20190309,서울,31.8,10.0
20190310,서울,26.4,12.0
20190311,서울,61.0,38.0
20190312,서울,55.1,21.0
20190313,서울,38.5,14.0
20190314,서울,45.3,18.0
20190315,서울,72.8,24.0
20190316,서울,69.9,38.0
20190317,서울,55.4,24.0
20190318,서울,43.8,20.0
20190319,서울,52.0,20.0
20190320,서울,79.0,42.0
20190321,서울,77.4,49.0
20190322,서울,40.9,20.0
20190323,서울,46.9,25.0
20190324,서울,45.4,27.0
20190325,서울,56.1,43.0
20190326,서울,51.1,23.0
20190327,서울,66.4,44.0
20190328,서울,49.9,16.0
20190329,서울,33.1,17.0
20190330,서울,72.0,35.0
20190331,서울,46.0,20.0
20190401,서울,39.8,15.0
20190402,서울,36.9,15.0
20190403,서울,36.1,14.0
20190404,서울,43.0,21.0
20190405,서울,41.0,13.0
20190406,서울,39.9,21.0
20190407,서울,43.1,12.0
20190408,서울,25.6,10.0
20190409,서울,49.1,16.0
20190410,서울,78.4,61.0
20190411,서울,58.0,17.0
20190412,서울,48.5,19.0
20190413,서울,34.0,14.0
20190414,서울,45.5,20.0
20190415,서울,30.9,13.0
20190416,서울,26.3,10.0
20190417,서울,37.5,16.0
20190418,서울,74.4,55.0
20190419,서울,57.5,31.0
20190420,서울,66.9,40.0
20190421,서울,77.8,53.0
20190422,서울,50.6,18.0
20190423,서울,52.0,36.0
20190424,서울,70.4,42.0
20190425,서울,75.9,51.0
20190426,서울,82.1,65.0
20190427,서울,52.6,25.0
20190428,서울,48.8,33.0
20190429,서울,52.9,36.0
20190430,서울,52.8,29.0
20190501,서울,48.9,28.0
20190502,서울,28.5,14.0
20190503,서울,37.5,17.0
20190504,서울,40.4,18.0
20190505,서울,35.8,12.0
20190506,서울,27.1,12.0
20190507,서울,33.4,16.0
20190508,서울,48.3,31.0
20190509,서울,43.3,19.0
20190510,서울,48.0,28.0
20190511,서울,39.0,22.0
20190512,서울,36.0,24.0
20190513,서울,43.4,29.0
20190514,서울,44.5,24.0
20190515,서울,48.1,23.0
20190516,서울,43.8,25.0
20190517,서울,44.9,31.0
20190518,서울,46.8,38.0
20190519,서울,93.0,55.0
20190520,서울,63.6,33.0
20190521,서울,52.0,22.0
20190522,서울,46.0,19.0
20190523,서울,45.0,16.0
20190524,서울,46.4,27.0
20190525,서울,45.6,15.0
20190526,서울,39.0,21.0
20190527,서울,80.9,42.0
20190528,서울,45.9,20.0
20190529,서울,48.4,21.0
20190530,서울,48.0,31.0
20190531,서울,49.6,35.0
20190601,서울,60.5,40.0
20190602,서울,42.1,22.0
20190603,서울,42.9,27.0
20190604,서울,56.4,34.0
20190605,서울,63.8,38.0
20190606,서울,75.9,56.0
20190607,서울,77.3,50.0
20190608,서울,57.5,28.0
20190609,서울,66.1,47.0
20190610,서울,70.3,49.0
20190611,서울,51.1,32.0
20190612,서울,57.1,40.0
20190613,서울,51.9,33.0
20190614,서울,54.8,30.0
20190615,서울,61.5,37.0
20190616,서울,55.4,34.0
20190617,서울,59.1,35.0
20190618,서울,78.6,54.0
20190619,서울,77.8,55.0
20190620,서울,70.6,45.0
20190621,서울,72.9,55.0
20190622,서울,42.3,25.0
20190623,서울,40.4,28.0
20190624,서울,46.9,28.0
20190625,서울,49.1,24.0
20190626,서울,52.6,34.0
20190627,서울,70.5,39.0
20190628,서울,67.3,49.0
20190629,서울,72.0,44.0
20190630,서울,73.5,47.0
20190701,서울,64.4,36.0
20190702,서울,63.5,33.0
20190703,서울,64.6,46.0
20190704,서울,59.6,27.0
20190705,서울,42.1,24.0
20190706,서울,40.9,24.0
20190707,서울,43.3,28.0
20190708,서울,46.6,32.0
20190709,서울,46.4,32.0
20190710,서울,64.1,41.0
20190711,서울,76.9,58.0
20190712,서울,65.5,44.0
20190713,서울,67.3,43.0
20190714,서울,64.6,38.0
20190715,서울,80.0,59.0
20190716,서울,79.0,52.0
20190717,서울,73.9,54.0
20190718,서울,65.0,41.0
20190719,서울,61.3,37.0
20190720,서울,66.9,50.0
20190721,서울,87.1,74.0
20190722,서울,74.6,54.0
20190723,서울,70.8,48.0
20190724,서울,82.3,75.0
20190725,서울,90.1,79.0
20190726,서울,95.3,91.0
20190727,서울,76.6,48.0
20190728,서울,88.3,77.0
20190729,서울,74.5,63.0
20190730,서울,75.3,64.0
20190731,서울,91.1,79.0
20190801,서울,86.4,66.0
20190802,서울,74.6,48.0
20190803,서울,69.0,39.0
20190804,서울,75.9,48.0
20190805,서울,65.5,38.0
20190806,서울,51.4,31.0
20190807,서울,78.1,51.0
20190808,서울,71.4,52.0
20190809,서울,69.0,46.0
20190810,서울,57.9,40.0
20190811,서울,53.6,34.0
20190812,서울,91.8,79.0
20190813,서울,76.9,43.0
20190814,서울,63.9,42.0
20190815,서울,82.0,61.0
20190816,서울,74.5,59.0
20190817,서울,69.5,45.0
20190818,서울,66.5,37.0
20190819,서울,60.6,35.0
20190820,서울,56.3,39.0
20190821,서울,67.3,49.0
20190822,서울,66.5,36.0
20190823,서울,58.4,28.0
20190824,서울,60.9,46.0
20190825,서울,66.6,43.0
20190826,서울,63.8,34.0
