일시,지점명,평균습도(%rh),최저습도(%rh)
20190101,수원,64.8,49.0
20190102,수원,61.1,30.0
20190103,수원,52.3,18.0
20190104,수원,73.9,40.0
20190105,수원,45.0,21.0
20190106,수원,53.9,23.0
20190107,수원,73.5,34.0
20190108,수원,43.1,24.0
20190109,수원,39.3,18.0
20190110,수원,59.1,35.0
20190111,수원,70.1,48.0
20190112,수원,64.6,39.0
20190113,수원,77.9,32.0
20190114,수원,87.3,62.0
20190115,수원,63.5,41.0
20190116,수원,49.5,23.0
20190117,수원,60.8,14.0
20190118,수원,66.6,29.0
20190119,수원,70.5,46.0
20190120,수원,45.1,25.0
20190121,수원,64.8,42.0
20190122,수원,79.8,45.0
20190123,수원,60.0,26.0
20190124,수원,42.9,14.0
20190125,수원,44.4,21.0
20190126,수원,41.6,22.0
20190127,수원,64.9,38.0
20190128,수원,48.5,24.0
20190129,수원,44.9,21.0
20190130,수원,66.0,41.0
20190131,수원,34.1,18.0
20190201,수원,64.1,34.0
20190202,수원,70.5,50.0
20190203,수원,98.1,55.0
20190204,수원,50.8,21.0
20190205,수원,54.5,22.0
20190206,수원,66.4,45.0
20190207,수원,50.4,14.0
20190208,수원,38.8,24.0
20190209,수원,31.8,21.0
20190210,수원,41.1,26.0
20190211,수원,44.0,24.0
20190212,수원,47.6,22.0
20190213,수원,34.8,19.0
20190214,수원,35.1,21.0
20190215,수원,81.6,44.0
20190216,수원,65.4,45.0
20190217,수원,57.5,28.0
20190218,수원,65.3,30.0
20190219,수원,96.0,62.0
20190220,수원,79.9,58.0
20190221,수원,75.8,41.0
20190222,수원,75.1,31.0
20190223,수원,62.5,21.0
20190224,수원,66.8,27.0
20190225,수원,74.3,45.0
20190226,수원,57.6,23.0
20190227,수원,52.4,22.0
20190228,수원,61.3,31.0
20190301,수원,68.6,31.0
20190302,수원,61.9,24.0
20190303,수원,55.6,20.0
20190304,수원,68.0,30.0
20190305,수원,74.0,41.0
20190306,수원,75.3,50.0
20190307,수원,72.4,36.0
20190308,수원,61.4,23.0
20190309,수원,48.8,11.0
20190310,수원,34.3,12.0
20190311,수원,81.9,49.0
20190312,수원,69.6,35.0
20190313,수원,45.8,24.0
20190314,수원,60.3,25.0
20190315,수원,77.6,25.0
20190316,수원,76.8,41.0
20190317,수원,68.4,25.0
20190318,수원,55.8,20.0
20190319,수원,65.9,22.0
20190320,수원,85.4,44.0
20190321,수원,83.1,57.0
20190322,수원,44.1,22.0
20190323,수원,56.1,28.0
20190324,수원,60.6,28.0
20190325,수원,64.5,46.0
20190326,수원,60.0,28.0
20190327,수원,71.0,42.0
20190328,수원,59.4,20.0
20190329,수원,41.8,28.0
20190330,수원,83.5,47.0
20190331,수원,55.0,29.0
20190401,수원,49.4,19.0
20190402,수원,55.4,23.0
20190403,수원,56.3,19.0
20190404,수원,52.3,23.0
20190405,수원,56.4,17.0
20190406,수원,51.4,25.0
20190407,수원,41.3,13.0
20190408,수원,34.6,16.0
20190409,수원,53.5,19.0
20190410,수원,84.1,64.0
20190411,수원,76.1,35.0
20190412,수원,63.5,22.0
20190413,수원,47.1,17.0
20190414,수원,55.6,25.0
20190415,수원,51.8,16.0
20190416,수원,39.3,13.0
20190417,수원,53.4,18.0
20190418,수원,82.6,54.0
20190419,수원,69.1,47.0
20190420,수원,69.9,50.0
20190421,수원,86.9,58.0
20190422,수원,63.4,21.0
20190423,수원,65.4,41.0
20190424,수원,81.0,57.0
20190425,수원,86.3,61.0
20190426,수원,88.1,74.0
20190427,수원,65.9,36.0
20190428,수원,66.9,44.0
20190429,수원,77.0,49.0
20190430,수원,67.6,42.0
20190501,수원,70.9,50.0
20190502,수원,55.1,18.0
20190503,수원,53.1,21.0
20190504,수원,58.0,24.0
20190505,수원,52.1,13.0
20190506,수원,44.0,13.0
20190507,수원,50.8,18.0
20190508,수원,57.9,33.0
20190509,수원,56.3,21.0
20190510,수원,63.9,30.0
20190511,수원,54.0,32.0
20190512,수원,49.8,27.0
20190513,수원,58.6,33.0
20190514,수원,63.3,27.0
20190515,수원,66.6,35.0
20190516,수원,58.9,28.0
20190517,수원,58.6,35.0
20190518,수원,60.5,47.0
20190519,수원,95.8,65.0
20190520,수원,72.5,32.0
20190521,수원,65.6,28.0
20190522,수원,57.1,22.0
20190523,수원,61.1,19.0
20190524,수원,63.0,34.0
20190525,수원,57.3,24.0
20190526,수원,51.6,26.0
20190527,수원,88.4,53.0
20190528,수원,53.6,28.0
20190529,수원,59.0,26.0
20190530,수원,60.1,36.0
20190531,수원,59.9,39.0
20190601,수원,71.6,47.0
20190602,수원,55.4,20.0
20190603,수원,55.8,29.0
20190604,수원,66.6,34.0
20190605,수원,76.5,48.0
20190606,수원,83.9,60.0
20190607,수원,82.0,55.0
20190608,수원,69.0,43.0
20190609,수원,74.5,56.0
20190610,수원,73.6,55.0
20190611,수원,60.4,39.0
20190612,수원,73.4,50.0
20190613,수원,64.3,40.0
20190614,수원,67.5,42.0
20190615,수원,73.0,52.0
20190616,수원,69.8,43.0
20190617,수원,72.1,49.0
20190618,수원,81.8,62.0
20190619,수원,82.1,56.0
20190620,수원,78.3,51.0
20190621,수원,79.1,62.0
20190622,수원,53.5,36.0
20190623,수원,50.3,34.0
20190624,수원,58.5,38.0
20190625,수원,58.6,31.0
20190626,수원,67.3,46.0
20190627,수원,78.3,62.0
20190628,수원,80.0,61.0
20190629,수원,85.6,69.0
20190630,수원,84.6,60.0
20190701,수원,76.1,46.0
20190702,수원,75.3,43.0
20190703,수원,78.0,54.0
20190704,수원,74.5,37.0
20190705,수원,62.6,33.0
20190706,수원,48.6,28.0
20190707,수원,49.3,35.0
20190708,수원,53.1,43.0
20190709,수원,54.4,40.0
20190710,수원,72.1,53.0
20190711,수원,86.5,67.0
20190712,수원,77.3,56.0
20190713,수원,84.9,66.0
20190714,수원,79.0,50.0
20190715,수원,88.1,70.0
20190716,수원,81.5,58.0
20190717,수원,78.3,60.0
20190718,수원,71.8,51.0
20190719,수원,72.6,50.0
20190720,수원,71.5,61.0
20190721,수원,94.1,73.0
20190722,수원,80.8,61.0
20190723,수원,76.9,53.0
20190724,수원,88.5,81.0
20190725,수원,94.9,88.0
20190726,수원,94.3,84.0
20190727,수원,83.9,62.0
20190728,수원,89.9,82.0
20190729,수원,80.3,68.0
20190730,수원,79.4,70.0
20190731,수원,89.4,82.0
20190801,수원,85.8,67.0
20190802,수원,78.3,51.0
20190803,수원,74.6,49.0
20190804,수원,74.3,56.0
20190805,수원,69.6,46.0
20190806,수원,57.1,37.0
20190807,수원,78.3,54.0
20190808,수원,74.9,57.0
20190809,수원,70.9,53.0
20190810,수원,60.3,40.0
20190811,수원,49.6,30.0
20190812,수원,78.1,64.0
20190813,수원,68.9,42.0
20190814,수원,61.8,40.0
20190815,수원,73.0,52.0
20190816,수원,75.5,64.0
20190817,수원,79.3,64.0
20190818,수원,68.9,36.0
20190819,수원,65.5,40.0
20190820,수원,50.1,32.0
20190821,수원,53.9,38.0
20190822,수원,67.0,27.0
20190823,수원,71.3,44.0
20190824,수원,80.9,63.0
20190825,수원,78.5,53.0
20190826,수원,74.4,42.0
20190827,수원,84.6,60.0
20190828,수원,82.9,56.0
20190829,수원,87.0,68.0
20190830,수원,78.5,51.0
20190831,수원,80.0,57.0
20190901,수원,78.6,47.0
20190902,수원,74.8,41.0
20190903,수원,82.0,71.0
20190904,수원,93.6,79.0
20190905,수원,96.6,80.0
20190906,수원,88.3,73.0
20190907,수원,79.8,64.0
20190908,수원,89.9,71.0
20190909,수원,91.4,71.0
20190910,수원,94.3,72.0
20190911,수원,84.6,71.0
20190912,수원,83.9,65.0
20190913,수원,76.0,49.0
20190914,수원,89.5,74.0
20190915,수원,83.5,57.0
20190916,수원,68.1,35.0
20190917,수원,58.3,34.0
20190918,수원,60.6,25.0
20190919,수원,66.1,48.0
20190920,수원,68.6,49.0
20190921,수원,75.1,63.0
20190922,수원,86.5,64.0
20190923,수원,69.1,49.0
20190924,수원,75.6,42.0
20190925,수원,83.0,54.0
20190926,수원,73.6,44.0
20190927,수원,68.0,50.0
20190928,수원,79.4,58.0
20190929,수원,81.1,34.0
20190930,수원,81.6,44.0
20191001,수원,85.9,67.0
20191002,수원,94.6,82.0
20191003,수원,85.3,61.0
20191004,수원,87.8,69.0
20191005,수원,82.4,68.0
20191006,수원,68.5,56.0
20191007,수원,96.6,73.0
20191008,수원,70.8,36.0
20191009,수원,71.9,34.0
20191010,수원,79.9,52.0
20191011,수원,74.8,48.0
20191012,수원,64.3,48.0
20191013,수원,71.3,51.0
20191014,수원,73.0,44.0
20191015,수원,76.3,51.0
20191016,수원,79.6,51.0
20191017,수원,79.9,45.0
20191018,수원,75.4,59.0
20191019,수원,85.3,57.0
20191020,수원,88.5,53.0
20191021,수원,81.5,40.0
20191022,수원,78.1,46.0
20191023,수원,73.1,55.0
20191024,수원,62.6,44.0
20191025,수원,71.8,50.0
20191026,수원,75.5,55.0
20191027,수원,76.8,48.0
20191028,수원,79.6,52.0
20191029,수원,75.4,44.0
20191030,수원,78.9,55.0
20191031,수원,86.1,64.0
20191101,수원,75.8,34.0
20191102,수원,82.3,61.0
20191103,수원,76.8,52.0
20191104,수원,76.1,47.0
20191105,수원,85.4,62.0
20191106,수원,81.3,46.0
20191107,수원,62.0,35.0
20191108,수원,55.3,26.0
20191109,수원,68.1,32.0
20191110,수원,75.4,45.0
20191111,수원,85.4,56.0
20191112,수원,82.1,48.0
20191113,수원,86.6,51.0
20191114,수원,48.3,36.0
20191115,수원,88.9,55.0
20191116,수원,90.8,25.0
20191117,수원,94.0,70.0
20191118,수원,72.3,46.0
20191119,수원,63.4,47.0
20191120,수원,59.4,24.0
20191121,수원,56.0,35.0
20191122,수원,54.4,32.0
20191123,수원,72.5,49.0
20191124,수원,88.5,64.0
20191125,수원,75.5,61.0
20191126,수원,81.4,58.0
20191127,수원,63.3,42.0
20191128,수원,69.6,53.0
20191129,수원,57.8,26.0
20191130,수원,62.6,32.0
20191201,수원,86.9,66.0
20191202,수원,64.3,36.0
20191203,수원,93.8,64.0
20191204,수원,77.0,50.0
20191205,수원,53.6,30.0
20191206,수원,59.4,35.0
