일시,지점명,평균습도(%rh),최저습도(%rh)
20190101,양평,54.0,35.0
20190102,양평,50.6,18.0
20190103,양평,55.8,15.0
20190104,양평,55.0,30.0
20190105,양평,47.3,22.0
20190106,양평,50.5,19.0
20190107,양평,57.9,27.0
20190108,양평,47.0,18.0
20190109,양평,42.5,19.0
20190110,양평,50.9,28.0
20190111,양평,61.1,35.0
20190112,양평,58.0,33.0
20190113,양평,64.3,26.0
20190114,양평,76.9,61.0
20190115,양평,58.8,25.0
20190116,양평,43.1,18.0
20190117,양평,54.3,18.0
20190118,양평,52.8,19.0
20190119,양평,58.4,38.0
20190120,양평,40.0,19.0
20190121,양평,60.9,30.0
20190122,양평,70.6,38.0
20190123,양평,52.3,20.0
20190124,양평,41.3,12.0
20190125,양평,38.8,17.0
20190126,양평,33.3,17.0
20190127,양평,53.9,29.0
20190128,양평,45.0,18.0
20190129,양평,45.6,15.0
20190130,양평,53.1,32.0
20190131,양평,36.4,14.0
20190201,양평,49.3,24.0
20190202,양평,70.8,46.0
20190203,양평,91.8,63.0
20190204,양평,43.1,16.0
20190205,양평,57.8,21.0
20190206,양평,62.1,34.0
20190207,양평,44.5,18.0
20190208,양평,31.9,16.0
20190209,양평,27.0,16.0
20190210,양평,37.3,19.0
20190211,양평,37.6,19.0
20190212,양평,44.4,23.0
20190213,양평,27.8,14.0
20190214,양평,47.0,22.0
20190215,양평,66.4,54.0
20190216,양평,58.0,37.0
20190217,양평,51.6,22.0
20190218,양평,54.3,26.0
20190219,양평,86.1,50.0
20190220,양평,68.3,47.0
20190221,양평,78.6,42.0
20190222,양평,74.1,32.0
20190223,양평,59.5,21.0
20190224,양평,55.0,18.0
20190225,양평,55.5,22.0
20190226,양평,50.4,14.0
20190227,양평,42.0,14.0
20190228,양평,52.0,21.0
20190301,양평,52.9,20.0
20190302,양평,50.3,15.0
20190303,양평,45.5,12.0
20190304,양평,44.0,16.0
20190305,양평,66.4,41.0
20190306,양평,64.1,35.0
20190307,양평,57.1,24.0
20190308,양평,53.6,18.0
20190309,양평,43.8,14.0
20190310,양평,38.9,11.0
20190311,양평,63.5,40.0
20190312,양평,53.6,20.0
20190313,양평,37.0,13.0
20190314,양평,51.0,16.0
20190315,양평,73.0,25.0
20190316,양평,67.9,39.0
20190317,양평,58.8,21.0
20190318,양평,51.6,22.0
20190319,양평,54.0,19.0
20190320,양평,78.9,34.0
20190321,양평,,48.0
20190322,양평,41.8,21.0
20190323,양평,52.3,28.0
20190324,양평,48.9,22.0
20190325,양평,60.6,41.0
20190326,양평,51.8,17.0
20190327,양평,60.1,30.0
20190328,양평,45.6,10.0
20190329,양평,29.5,20.0
20190330,양평,78.5,28.0
20190331,양평,54.9,20.0
20190401,양평,42.8,14.0
20190402,양평,44.0,13.0
20190403,양평,40.4,15.0
20190404,양평,39.0,15.0
20190405,양평,40.0,11.0
20190406,양평,51.3,24.0
20190407,양평,46.4,13.0
20190408,양평,26.1,10.0
20190409,양평,51.4,13.0
20190410,양평,75.3,60.0
20190411,양평,67.3,24.0
20190412,양평,49.5,15.0
20190413,양평,42.3,13.0
20190414,양평,59.4,21.0
20190415,양평,43.9,12.0
20190416,양평,34.8,8.0
20190417,양평,40.4,12.0
