일시,지점명,평균습도(%rh),최저습도(%rh)
20190101,인천,57.6,46.0
20190102,인천,48.8,31.0
20190103,인천,45.6,23.0
20190104,인천,67.6,48.0
20190105,인천,43.4,23.0
20190106,인천,46.4,29.0
20190107,인천,59.4,39.0
20190108,인천,40.8,27.0
20190109,인천,37.0,25.0
20190110,인천,59.3,29.0
20190111,인천,71.8,51.0
20190112,인천,61.6,39.0
20190113,인천,66.9,29.0
20190114,인천,80.6,64.0
20190115,인천,67.1,43.0
20190116,인천,51.4,24.0
20190117,인천,47.9,16.0
20190118,인천,52.3,29.0
20190119,인천,72.0,50.0
20190120,인천,46.0,23.0
20190121,인천,63.3,45.0
20190122,인천,70.5,51.0
20190123,인천,57.5,23.0
20190124,인천,42.3,15.0
20190125,인천,37.5,24.0
20190126,인천,39.4,28.0
20190127,인천,60.4,37.0
20190128,인천,45.6,25.0
20190129,인천,45.0,24.0
20190130,인천,69.8,50.0
20190131,인천,33.4,21.0
20190201,인천,51.5,39.0
20190202,인천,61.4,49.0
20190203,인천,94.0,61.0
20190204,인천,43.0,24.0
20190205,인천,38.9,20.0
20190206,인천,62.8,39.0
20190207,인천,49.3,25.0
20190208,인천,37.5,31.0
20190209,인천,36.8,22.0
20190210,인천,37.9,33.0
20190211,인천,40.3,31.0
20190212,인천,46.9,28.0
20190213,인천,32.5,22.0
20190214,인천,36.6,24.0
20190215,인천,81.1,49.0
20190216,인천,61.5,48.0
20190217,인천,55.5,32.0
20190218,인천,56.5,35.0
20190219,인천,87.3,59.0
20190220,인천,71.6,56.0
20190221,인천,63.0,43.0
20190222,인천,66.6,37.0
20190223,인천,54.9,19.0
20190224,인천,65.8,33.0
20190225,인천,67.6,34.0
20190226,인천,46.0,27.0
20190227,인천,48.5,20.0
20190228,인천,62.5,33.0
20190301,인천,64.9,41.0
20190302,인천,57.4,33.0
20190303,인천,49.0,23.0
20190304,인천,63.9,36.0
20190305,인천,83.1,61.0
20190306,인천,70.5,58.0
20190307,인천,54.8,37.0
20190308,인천,57.0,28.0
20190309,인천,53.3,9.0
20190310,인천,37.8,12.0
20190311,인천,81.3,57.0
20190312,인천,61.8,28.0
20190313,인천,44.6,23.0
20190314,인천,58.3,16.0
20190315,인천,79.9,28.0
20190316,인천,74.9,51.0
20190317,인천,68.5,30.0
20190318,인천,53.6,24.0
20190319,인천,68.1,23.0
20190320,인천,85.0,50.0
20190321,인천,80.0,60.0
20190322,인천,44.1,25.0
20190323,인천,54.8,27.0
20190324,인천,57.5,39.0
20190325,인천,66.0,50.0
20190326,인천,72.8,40.0
20190327,인천,80.8,58.0
20190328,인천,61.6,25.0
20190329,인천,43.0,27.0
20190330,인천,78.5,44.0
20190331,인천,51.6,20.0
20190401,인천,47.5,17.0
20190402,인천,51.9,23.0
20190403,인천,60.3,19.0
20190404,인천,66.6,44.0
20190405,인천,56.9,21.0
20190406,인천,53.9,36.0
20190407,인천,50.0,13.0
20190408,인천,35.5,17.0
20190409,인천,51.6,17.0
20190410,인천,86.1,62.0
20190411,인천,73.9,49.0
20190412,인천,69.9,33.0
20190413,인천,42.5,14.0
20190414,인천,57.3,27.0
20190415,인천,48.4,20.0
20190416,인천,32.4,11.0
20190417,인천,55.9,20.0
20190418,인천,88.5,62.0
20190419,인천,66.1,39.0
20190420,인천,78.3,61.0
20190421,인천,92.6,72.0
20190422,인천,70.6,31.0
20190423,인천,67.0,48.0
20190424,인천,82.1,56.0
20190425,인천,87.5,56.0
20190426,인천,84.1,62.0
20190427,인천,59.5,42.0
20190428,인천,61.6,37.0
20190429,인천,54.4,41.0
20190430,인천,61.5,38.0
20190501,인천,65.0,32.0
20190502,인천,39.0,18.0
20190503,인천,53.9,33.0
20190504,인천,61.0,35.0
20190505,인천,55.4,25.0
20190506,인천,32.5,11.0
20190507,인천,57.5,34.0
20190508,인천,67.0,50.0
20190509,인천,65.1,39.0
20190510,인천,64.9,38.0
20190511,인천,62.4,27.0
20190512,인천,46.9,26.0
20190513,인천,52.4,29.0
20190514,인천,61.1,29.0
20190515,인천,68.0,37.0
20190516,인천,63.0,34.0
20190517,인천,58.5,41.0
20190518,인천,60.9,42.0
20190519,인천,96.9,59.0
20190520,인천,68.5,42.0
20190521,인천,69.4,39.0
20190522,인천,64.1,41.0
20190523,인천,62.9,27.0
20190524,인천,59.0,39.0
20190525,인천,62.4,29.0
20190526,인천,48.6,26.0
20190527,인천,86.0,49.0
20190528,인천,60.9,40.0
20190529,인천,63.4,42.0
20190530,인천,59.8,41.0
20190531,인천,64.0,43.0
20190601,인천,73.5,54.0
20190602,인천,57.8,27.0
20190603,인천,60.0,34.0
20190604,인천,67.3,46.0
20190605,인천,85.0,66.0
20190606,인천,92.5,64.0
20190607,인천,80.1,53.0
20190608,인천,66.0,48.0
20190609,인천,78.1,59.0
20190610,인천,70.0,49.0
20190611,인천,58.6,41.0
20190612,인천,72.9,49.0
20190613,인천,67.3,38.0
20190614,인천,70.9,43.0
20190615,인천,66.3,45.0
20190616,인천,65.4,46.0
20190617,인천,75.6,55.0
20190618,인천,79.9,55.0
20190619,인천,85.5,59.0
20190620,인천,84.0,54.0
20190621,인천,84.8,62.0
20190622,인천,55.6,38.0
20190623,인천,45.3,36.0
20190624,인천,67.8,42.0
20190625,인천,67.3,39.0
20190626,인천,66.9,51.0
20190627,인천,82.0,65.0
20190628,인천,84.4,59.0
20190629,인천,84.9,57.0
20190630,인천,90.6,72.0
20190701,인천,81.6,56.0
20190702,인천,83.6,57.0
20190703,인천,87.0,58.0
20190704,인천,82.3,39.0
20190705,인천,62.0,32.0
20190706,인천,48.8,26.0
20190707,인천,46.4,35.0
20190708,인천,49.0,34.0
20190709,인천,51.3,38.0
20190710,인천,67.5,48.0
20190711,인천,84.4,71.0
20190712,인천,83.0,66.0
20190713,인천,87.1,64.0
20190714,인천,80.9,53.0
20190715,인천,85.0,63.0
20190716,인천,85.0,60.0
20190717,인천,76.4,55.0
20190718,인천,70.8,54.0
20190719,인천,66.4,43.0
20190720,인천,73.0,57.0
20190721,인천,94.8,73.0
20190722,인천,92.5,74.0
20190723,인천,86.3,64.0
20190724,인천,95.5,89.0
20190725,인천,97.4,92.0
20190726,인천,98.4,98.0
20190727,인천,85.6,64.0
20190728,인천,96.0,88.0
20190729,인천,84.0,73.0
20190730,인천,87.6,75.0
