일시,지점명,평균습도(%rh),최저습도(%rh)
20190101,파주,65.3,38.0
20190102,파주,63.8,28.0
20190103,파주,61.4,23.0
20190104,파주,75.0,42.0
20190105,파주,55.5,19.0
20190106,파주,53.1,23.0
20190107,파주,62.0,35.0
20190108,파주,46.0,19.0
20190109,파주,48.9,26.0
20190110,파주,61.0,31.0
20190111,파주,72.0,44.0
20190112,파주,64.6,29.0
20190113,파주,74.3,30.0
20190114,파주,82.1,60.0
20190115,파주,68.0,28.0
20190116,파주,57.0,26.0
20190117,파주,53.5,22.0
20190118,파주,63.4,24.0
20190119,파주,75.1,56.0
20190120,파주,47.1,23.0
20190121,파주,72.1,55.0
20190122,파주,79.6,44.0
20190123,파주,59.4,22.0
20190124,파주,53.0,16.0
20190125,파주,50.0,21.0
20190126,파주,44.4,22.0
20190127,파주,67.8,33.0
20190128,파주,48.6,21.0
20190129,파주,53.5,22.0
20190130,파주,70.5,43.0
20190131,파주,33.8,17.0
20190201,파주,63.5,29.0
20190202,파주,71.3,50.0
20190203,파주,91.1,47.0
20190204,파주,56.3,26.0
20190205,파주,59.3,23.0
20190206,파주,70.8,42.0
20190207,파주,47.6,22.0
20190208,파주,44.5,27.0
20190209,파주,40.6,21.0
20190210,파주,48.6,28.0
20190211,파주,45.6,21.0
20190212,파주,46.1,17.0
20190213,파주,41.6,19.0
20190214,파주,40.0,19.0
20190215,파주,84.8,52.0
20190216,파주,72.8,44.0
20190217,파주,67.3,32.0
20190218,파주,66.3,37.0
20190219,파주,85.0,64.0
20190220,파주,72.0,47.0
20190221,파주,75.9,43.0
20190222,파주,73.3,37.0
20190223,파주,58.5,17.0
20190224,파주,64.3,25.0
20190225,파주,72.5,25.0
20190226,파주,58.6,27.0
20190227,파주,51.8,25.0
20190228,파주,62.9,29.0
20190301,파주,66.8,31.0
20190302,파주,58.8,21.0
20190303,파주,60.3,27.0
20190304,파주,65.8,29.0
20190305,파주,81.5,53.0
20190306,파주,81.3,48.0
20190307,파주,63.5,28.0
20190308,파주,58.4,23.0
20190309,파주,54.9,19.0
20190310,파주,45.9,21.0
20190311,파주,77.9,45.0
20190312,파주,60.4,21.0
20190313,파주,45.8,14.0
20190314,파주,67.1,28.0
20190315,파주,91.3,33.0
20190316,파주,84.6,45.0
20190317,파주,74.1,32.0
20190318,파주,65.6,30.0
20190319,파주,73.4,34.0
20190320,파주,94.0,67.0
20190321,파주,79.5,55.0
20190322,파주,50.6,25.0
20190323,파주,60.0,33.0
20190324,파주,59.4,29.0
20190325,파주,72.6,64.0
20190326,파주,68.4,29.0
20190327,파주,81.6,59.0
20190328,파주,62.8,22.0
20190329,파주,42.9,25.0
20190330,파주,82.8,45.0
20190331,파주,52.6,21.0
20190401,파주,55.4,22.0
20190402,파주,55.1,18.0
20190403,파주,53.5,19.0
20190404,파주,61.9,34.0
20190405,파주,45.0,11.0
20190406,파주,60.1,24.0
20190407,파주,58.3,20.0
20190408,파주,39.6,11.0
20190409,파주,60.3,20.0
20190410,파주,87.9,66.0
20190411,파주,73.3,28.0
20190412,파주,65.8,25.0
20190413,파주,53.4,22.0
20190414,파주,66.0,23.0
20190415,파주,53.4,19.0
20190416,파주,49.1,16.0
20190417,파주,61.1,26.0
20190418,파주,90.4,72.0
20190419,파주,70.5,39.0
20190420,파주,82.9,54.0
20190421,파주,83.8,56.0
20190422,파주,66.5,24.0
20190423,파주,69.0,49.0
20190424,파주,76.1,48.0
20190425,파주,82.0,53.0
20190426,파주,82.9,61.0
20190427,파주,70.8,35.0
20190428,파주,67.5,42.0
20190429,파주,70.5,40.0
20190430,파주,69.6,38.0
20190501,파주,60.4,28.0
20190502,파주,47.4,17.0
20190503,파주,62.8,25.0
20190504,파주,61.9,24.0
20190505,파주,56.1,14.0
20190506,파주,33.4,15.0
20190507,파주,57.0,24.0
20190508,파주,64.6,44.0
20190509,파주,61.4,24.0
20190510,파주,65.9,33.0
20190511,파주,58.5,27.0
20190512,파주,61.4,26.0
20190513,파주,68.4,40.0
20190514,파주,65.8,32.0
20190515,파주,71.3,32.0
20190516,파주,69.4,37.0
20190517,파주,70.6,42.0
20190518,파주,63.9,41.0
20190519,파주,97.9,60.0
20190520,파주,70.0,38.0
20190521,파주,68.3,28.0
20190522,파주,67.0,33.0
20190523,파주,70.5,30.0
20190524,파주,71.8,39.0
20190525,파주,74.6,31.0
20190526,파주,64.0,26.0
20190527,파주,84.9,62.0
20190528,파주,61.0,33.0
20190529,파주,62.5,28.0
20190530,파주,68.0,45.0
20190531,파주,67.0,44.0
20190601,파주,76.0,54.0
20190602,파주,66.4,30.0
20190603,파주,69.0,34.0
20190604,파주,74.4,49.0
20190605,파주,84.8,65.0
20190606,파주,93.8,86.0
20190607,파주,82.1,59.0
20190608,파주,76.5,44.0
20190609,파주,80.0,66.0
20190610,파주,85.5,65.0
20190611,파주,68.0,41.0
20190612,파주,,46.0
20190613,파주,74.0,45.0
20190614,파주,76.9,41.0
20190615,파주,74.9,42.0
20190616,파주,72.0,43.0
20190617,파주,74.9,52.0
20190618,파주,90.8,71.0
20190619,파주,90.4,73.0
20190620,파주,83.4,60.0
20190621,파주,85.0,64.0
20190622,파주,65.8,41.0
20190623,파주,63.4,39.0
20190624,파주,70.4,44.0
20190625,파주,71.8,40.0
20190626,파주,82.9,62.0
20190627,파주,78.6,49.0
20190628,파주,83.3,62.0
20190629,파주,87.0,65.0
20190630,파주,85.9,62.0
20190701,파주,75.9,46.0
20190702,파주,75.9,46.0
20190703,파주,80.9,51.0
20190704,파주,72.0,34.0
20190705,파주,69.1,42.0
20190706,파주,67.9,33.0
20190707,파주,63.9,44.0
20190708,파주,66.0,45.0
20190709,파주,63.4,41.0
20190710,파주,78.1,59.0
20190711,파주,88.0,73.0
20190712,파주,82.3,59.0
20190713,파주,80.5,52.0
20190714,파주,81.0,50.0
20190715,파주,92.6,68.0
20190716,파주,89.0,67.0
20190717,파주,87.8,65.0
20190718,파주,76.5,46.0
20190719,파주,74.6,47.0
20190720,파주,75.9,65.0
20190721,파주,93.0,77.0
20190722,파주,85.9,62.0
20190723,파주,86.9,66.0
20190724,파주,98.1,91.0
20190725,파주,99.4,96.0
20190726,파주,98.5,92.0
20190727,파주,88.0,65.0
20190728,파주,97.6,92.0
20190729,파주,89.3,81.0
20190730,파주,92.5,79.0
20190731,파주,97.6,82.0
20190801,파주,94.4,73.0
20190802,파주,87.0,58.0
20190803,파주,86.8,61.0
20190804,파주,85.3,58.0
20190805,파주,83.3,54.0
20190806,파주,78.0,61.0
20190807,파주,90.8,74.0
20190808,파주,88.1,69.0
20190809,파주,87.0,62.0
20190810,파주,85.3,63.0
20190811,파주,73.0,47.0
20190812,파주,95.8,84.0
20190813,파주,91.8,74.0
20190814,파주,84.4,62.0
20190815,파주,90.3,77.0
20190816,파주,88.6,67.0
20190817,파주,81.6,60.0
20190818,파주,83.3,53.0
20190819,파주,84.0,53.0
20190820,파주,82.6,58.0
20190821,파주,91.9,67.0
20190822,파주,86.1,53.0
20190823,파주,82.9,51.0
20190824,파주,84.9,55.0
20190825,파주,86.4,54.0
20190826,파주,89.5,57.0
20190827,파주,86.1,60.0
20190828,파주,83.3,52.0
20190829,파주,82.9,68.0
20190830,파주,81.6,55.0
20190831,파주,81.5,53.0
20190901,파주,87.6,52.0
20190902,파주,85.8,41.0
20190903,파주,85.1,58.0
20190904,파주,98.3,93.0
20190905,파주,99.1,84.0
20190906,파주,96.5,84.0
20190907,파주,89.4,68.0
20190908,파주,90.9,69.0
20190909,파주,89.0,59.0
20190910,파주,98.5,89.0
20190911,파주,83.5,62.0
20190912,파주,87.8,70.0
20190913,파주,81.8,50.0
20190914,파주,96.0,79.0
20190915,파주,85.0,56.0
20190916,파주,77.4,39.0
20190917,파주,76.5,38.0
20190918,파주,66.5,35.0
20190919,파주,71.1,40.0
20190920,파주,81.6,62.0
20190921,파주,88.8,73.0
20190922,파주,74.6,63.0
20190923,파주,68.1,39.0
20190924,파주,80.4,45.0
20190925,파주,88.3,51.0
20190926,파주,85.1,54.0
20190927,파주,84.9,58.0
20190928,파주,82.4,52.0
20190929,파주,83.4,43.0
20190930,파주,85.0,45.0
20191001,파주,83.8,51.0
20191002,파주,93.1,72.0
20191003,파주,81.1,55.0
20191004,파주,87.1,65.0
20191005,파주,84.1,68.0
20191006,파주,74.3,46.0
20191007,파주,99.4,87.0
20191008,파주,71.8,30.0
20191009,파주,77.5,32.0
20191010,파주,86.4,52.0
20191011,파주,76.6,35.0
20191012,파주,66.1,43.0
20191013,파주,79.6,43.0
20191014,파주,75.3,34.0
20191015,파주,74.4,45.0
20191016,파주,83.0,45.0
20191017,파주,76.9,36.0
20191018,파주,79.8,48.0
20191019,파주,81.1,49.0
20191020,파주,84.6,43.0
20191021,파주,83.0,44.0
